datetime,dust,mq135,mq131,mq4,temperature,pressure,altitude
Wed Sep 27 15:34:46 2023,0,0,0,0,28.1,96085,446.22
Wed Sep 27 15:34:46 2023,0,0,0,0,28.1,96092,445.35
Wed Sep 27 15:34:46 2023,974,0,0,0,28.1,96088,445.43
Wed Sep 27 15:34:46 2023,1125,0,0,0,28.1,96086,445.35
Wed Sep 27 15:34:46 2023,1119,0,0,0,28.1,96089,445.35
Wed Sep 27 15:34:46 2023,879,0,0,0,28.1,96083,445.35
Wed Sep 27 15:34:47 2023,0,0,0,0,28.1,96082,445.61
Wed Sep 27 15:34:47 2023,0,0,0,0,28.1,96088,445.61
Wed Sep 27 15:34:47 2023,1084,0,0,0,28.1,96083,446.04
Wed Sep 27 15:34:47 2023,1138,0,0,0,28.1,96080,445.52
Wed Sep 27 15:34:47 2023,1006,0,0,0,28.1,96089,445.87
Wed Sep 27 15:34:47 2023,955,0,0,0,28.1,96086,446.04
Wed Sep 27 15:34:48 2023,0,0,0,0,28.1,96085,445.87
Wed Sep 27 15:34:48 2023,7,0,0,0,28.1,96082,445.35
Wed Sep 27 15:34:48 2023,1113,0,0,0,28.1,96088,446.04
Wed Sep 27 15:34:48 2023,1057,0,0,0,28.1,96086,445.87
Wed Sep 27 15:34:48 2023,979,0,0,0,28.1,96089,445.0
Wed Sep 27 15:34:48 2023,1040,0,0,0,28.1,96080,445.52
Wed Sep 27 15:34:49 2023,0,0,0,0,28.1,96089,445.87
Wed Sep 27 15:34:49 2023,100,0,0,0,28.1,96094,446.22
Wed Sep 27 15:34:49 2023,974,0,0,0,28.1,96078,446.04
Wed Sep 27 15:34:49 2023,857,0,0,0,28.1,96078,445.96
Wed Sep 27 15:34:49 2023,871,0,0,0,28.1,96084,445.61
Wed Sep 27 15:34:49 2023,1084,0,0,0,28.1,96092,445.78
Wed Sep 27 15:34:50 2023,0,0,0,0,28.1,96086,445.61
Wed Sep 27 15:34:50 2023,0,0,0,0,28.1,96084,445.87
Wed Sep 27 15:34:50 2023,935,0,0,0,28.1,96083,445.43
Wed Sep 27 15:34:50 2023,879,0,0,0,28.1,96086,445.78
Wed Sep 27 15:34:50 2023,1047,0,0,0,28.1,96086,446.04
Wed Sep 27 15:34:50 2023,970,0,0,0,28.1,96083,445.78
Wed Sep 27 15:34:52 2023,0,0,0,0,28.1,96079,445.96
Wed Sep 27 15:34:52 2023,0,0,0,0,28.1,96085,446.13
Wed Sep 27 15:34:52 2023,804,0,0,0,28.1,96082,446.04
Wed Sep 27 15:34:52 2023,897,0,0,0,28.1,96079,446.04
Wed Sep 27 15:34:52 2023,848,0,0,0,28.1,96080,446.22
Wed Sep 27 15:34:52 2023,915,0,0,0,28.1,96081,445.96
Wed Sep 27 15:34:53 2023,10,0,0,0,28.1,96084,446.3
Wed Sep 27 15:34:53 2023,83,0,0,0,28.1,96082,445.96
Wed Sep 27 15:34:53 2023,924,0,0,0,28.1,96082,445.96
Wed Sep 27 15:34:53 2023,967,0,0,0,28.1,96086,445.87
Wed Sep 27 15:34:53 2023,897,0,0,0,28.1,96084,445.26
Wed Sep 27 15:34:53 2023,1090,0,0,0,28.1,96085,445.78
Wed Sep 27 15:34:54 2023,0,0,0,0,28.1,96081,446.13
Wed Sep 27 15:34:54 2023,0,0,0,0,28.1,96080,446.3
Wed Sep 27 15:34:54 2023,960,0,0,0,28.1,96078,446.3
Wed Sep 27 15:34:54 2023,1008,0,0,0,28.1,96082,446.39
Wed Sep 27 15:34:54 2023,1071,0,0,0,28.1,96080,446.48
Wed Sep 27 15:34:54 2023,1061,0,0,0,28.1,96086,446.04
Wed Sep 27 15:34:55 2023,0,0,0,0,28.1,96078,446.22
Wed Sep 27 15:34:55 2023,0,0,0,0,28.1,96084,445.78
Wed Sep 27 15:34:55 2023,837,0,0,0,28.1,96080,445.96
Wed Sep 27 15:34:55 2023,1122,0,0,0,28.1,96085,445.87
Wed Sep 27 15:34:55 2023,1207,0,0,0,28.1,96085,445.87
Wed Sep 27 15:34:55 2023,1135,0,0,0,28.1,96084,445.87
Wed Sep 27 15:34:56 2023,0,0,0,0,28.1,96080,445.96
Wed Sep 27 15:34:56 2023,0,0,0,0,28.1,96080,445.78
Wed Sep 27 15:34:56 2023,1218,0,0,0,28.1,96087,445.61
Wed Sep 27 15:34:56 2023,788,0,0,0,28.1,96078,446.65
Wed Sep 27 15:34:56 2023,1009,0,0,0,28.1,96079,445.87
Wed Sep 27 15:34:56 2023,976,0,0,0,28.1,96083,445.78
Wed Sep 27 15:34:57 2023,3,0,0,0,28.1,96082,446.13
Wed Sep 27 15:34:57 2023,125,0,0,0,28.1,96088,445.43
Wed Sep 27 15:34:57 2023,994,0,0,0,28.1,96091,445.26
Wed Sep 27 15:34:57 2023,938,0,0,0,28.1,96084,445.35
Wed Sep 27 15:34:57 2023,1071,0,0,0,28.1,96080,445.78
Wed Sep 27 15:34:57 2023,973,0,0,0,28.1,96084,445.61
Wed Sep 27 15:34:58 2023,0,0,0,0,28.1,96085,446.04
Wed Sep 27 15:34:58 2023,0,0,0,2,28.1,96087,445.78
