datetime, dust, mq135, mq131, mq4, temperature, pressure, altitude
Wed Sep 27 11:58:19 2023,2141,0,0,0,25.0,96510,408.48
Wed Sep 27 11:58:19 2023,2062,0,0,0,25.0,96518,408.48
Wed Sep 27 11:58:19 2023,2173,0,0,0,25.0,96519,408.91
Wed Sep 27 11:58:19 2023,2060,0,0,0,24.9,96515,408.48
Wed Sep 27 11:58:19 2023,2147,0,0,0,25.0,96515,408.48
Wed Sep 27 11:58:20 2023,2139,0,0,0,25.0,96512,408.39
Wed Sep 27 11:58:20 2023,2076,0,0,0,25.0,96514,408.56
Wed Sep 27 11:58:20 2023,2077,0,0,0,24.9,96508,408.65
Wed Sep 27 11:58:20 2023,2147,0,0,0,25.0,96512,408.56
Wed Sep 27 11:58:20 2023,2066,0,0,0,25.0,96514,408.48
Wed Sep 27 11:58:20 2023,2174,0,0,0,25.0,96516,408.74
Wed Sep 27 11:58:21 2023,2064,0,0,0,25.0,96511,408.65
Wed Sep 27 11:58:21 2023,2131,0,0,0,25.0,96512,408.56
Wed Sep 27 11:58:21 2023,2084,0,0,0,25.0,96507,408.48
Wed Sep 27 11:58:21 2023,2071,0,0,0,25.0,96514,408.82
Wed Sep 27 11:58:21 2023,2159,0,0,0,25.0,96512,409.08
Wed Sep 27 11:58:22 2023,2061,0,0,0,25.0,96510,408.13
Wed Sep 27 11:58:22 2023,2151,0,0,0,25.0,96512,408.65
Wed Sep 27 11:58:22 2023,2069,0,0,0,25.0,96513,408.74
Wed Sep 27 11:58:22 2023,2134,0,0,0,25.0,96513,408.82
Wed Sep 27 11:58:22 2023,2076,0,0,0,25.0,96513,408.13
Wed Sep 27 11:58:23 2023,2064,0,0,0,25.0,96513,408.13
Wed Sep 27 11:58:23 2023,2161,0,0,0,25.0,96510,408.56
Wed Sep 27 11:58:23 2023,2061,0,0,0,25.0,96513,408.65
Wed Sep 27 11:58:23 2023,2151,0,0,0,25.0,96513,408.65
Wed Sep 27 11:58:23 2023,2066,0,0,0,25.0,96514,408.82
Wed Sep 27 11:58:24 2023,2103,0,0,0,25.0,96513,409.17
Wed Sep 27 11:58:24 2023,2128,0,0,0,25.0,96512,408.39
Wed Sep 27 11:58:24 2023,2069,0,0,0,25.0,96511,408.04
Wed Sep 27 11:58:24 2023,2162,0,0,0,25.0,96517,408.04
Wed Sep 27 11:58:24 2023,2064,0,0,0,25.0,96518,408.13
Wed Sep 27 11:58:26 2023,2140,0,0,0,25.0,96519,407.7
Wed Sep 27 11:58:26 2023,2066,0,0,0,25.0,96516,408.39
Wed Sep 27 11:58:26 2023,2127,0,0,0,25.0,96518,408.74
Wed Sep 27 11:58:26 2023,2096,0,0,4,25.0,96503,408.39
Wed Sep 27 11:58:26 2023,2080,0,0,0,25.0,96510,408.56
Wed Sep 27 11:58:27 2023,2165,0,0,0,25.0,96513,407.87
Wed Sep 27 11:58:27 2023,2064,0,0,0,25.0,96509,408.74
Wed Sep 27 11:58:27 2023,2159,0,0,0,25.0,96512,408.56
Wed Sep 27 11:58:27 2023,2064,0,0,0,25.0,96513,408.56
Wed Sep 27 11:58:27 2023,2134,0,0,0,25.0,96510,408.48
Wed Sep 27 11:58:28 2023,2347,0,0,0,25.0,96515,408.48
Wed Sep 27 11:58:28 2023,2068,0,0,0,25.0,96513,408.48
Wed Sep 27 11:58:28 2023,2165,0,0,0,25.0,96514,408.48
Wed Sep 27 11:58:28 2023,2061,0,0,0,25.0,96515,408.22
Wed Sep 27 11:58:28 2023,2166,0,0,0,25.0,96515,408.48
Wed Sep 27 11:58:29 2023,2064,0,0,0,25.0,96515,408.13
Wed Sep 27 11:58:29 2023,2133,0,0,0,25.0,96513,408.3
Wed Sep 27 11:58:29 2023,2085,0,0,0,25.0,96522,407.87
Wed Sep 27 11:58:29 2023,2077,0,0,0,25.0,96519,408.22
Wed Sep 27 11:58:29 2023,2147,0,0,0,25.0,96518,408.3
Wed Sep 27 11:58:30 2023,2058,0,0,0,25.0,96516,408.22
Wed Sep 27 11:58:30 2023,2133,0,0,0,25.0,96507,408.74
Wed Sep 27 11:58:30 2023,2064,0,0,0,25.0,96513,408.65
Wed Sep 27 11:58:30 2023,2135,0,0,0,25.0,96510,408.22
Wed Sep 27 11:58:30 2023,2053,0,0,0,25.0,96522,408.39
Wed Sep 27 11:58:31 2023,2066,0,0,0,25.0,96506,408.39
Wed Sep 27 11:58:31 2023,2166,0,0,0,25.0,96512,408.74
Wed Sep 27 11:58:31 2023,2058,0,0,0,25.0,96517,408.48
Wed Sep 27 11:58:31 2023,2153,0,0,0,25.0,96512,408.13
Wed Sep 27 11:58:31 2023,2065,0,0,0,25.0,96513,408.48
Wed Sep 27 11:58:32 2023,2130,0,0,0,25.0,96510,408.74
Wed Sep 27 11:58:32 2023,2101,0,0,27,25.0,96509,408.13
Wed Sep 27 11:58:32 2023,2066,0,0,0,25.0,96514,408.04
Wed Sep 27 11:58:32 2023,2158,0,0,0,25.0,96509,409.17
Wed Sep 27 11:58:32 2023,2059,0,0,0,25.0,96518,407.96
Wed Sep 27 11:58:33 2023,2151,0,0,0,25.0,96509,408.56
Wed Sep 27 11:58:33 2023,2067,0,0,0,25.0,96507,408.82
